Periodo de la Pepsi Week;4
Nombre de la Pepsi Week;3
Unit (Current Status);Current Product;Current Setpoint;Nameplate;NE;D;T;W; ;;
PC1PKG09;SABRITAS 45GR X 50 [V];80;80;67.71;27.15;94.52;1.66; ;;
PC1PKG10;SABRITAS 45GR X 50 [V];85;80;69.98;26.26;96.85;2; ;;
PC1PKG11;SABRITAS 160GR X 10 [C];45;40;68.06;27.93;95.43;1.04; ;;
PC1PKG12;SABRITAS 45GR X 50 [V];80;80;59.92;36.88;96.64;1.77; ;;
PC1PKG13;SABRITAS 45GR X 50 [V];90;80;56.4;37.96;92.44;1.65; ;;
PC1PKG14;SABRITAS 45GR X 50 [V];80;80;50.25;42.75;89.69;2.14; ;;
PC1PKG15;SABRITAS 160GR X 10 [C];45;40;19.71;79.74;98.61;1.34; ;;
