Periodo de la Pepsi Week;4
Nombre de la Pepsi Week;3
Unit (Current Status);Current Product;Current Setpoint;Nameplate;NE;D;T;W; ;;
TC1PKG01;TOSTITOS 175GR X 14 [R];60;50;55.35;44.39;100;0.47; ;;
TC1PKG02;TOSTITOS 65GR X 50 [V];80;80;63.72;34.89;97.87;0; ;;
TC1PKG03;TOSTITOS 65GR X 50 [V];80;80;41.9;47.27;100;20.54; ;;
TC1PKG04;TOSTITOS 175GR X 14 [R];60;50;59.83;37.15;100;4.81; ;;
TC1PKG05;TOSTITOS 65GR X 50 [V];85;80;42.88;55.2;97.2;1.52; ;;
TC1PKG06;TOSTITOS 175GR X 14 [R];60;50;54.14;35.35;84.28;0.65; ;;
TC1PKG07;TOSTITOS 175GR X 14 [R];45;50;1.31;93.9;30.13;28.83; ;;
TC1PKG08;TOSTITOS 175GR X 14 [R];60;50;11.72;83.73;73.9;2.51; ;;
