Unit (Current Status);Current Product;Current Setpoint;Nameplate;NE;D;T;W; ;;
TC1PKG01;DORITOS 223GR X 10 [C];45;40;52.56;40.29;89.46;1.61; ;;
TC1PKG02;DORITOS 61GR X 50 [V];88;80;50.64;37.63;83.28;2.51; ;;
TC1PKG03;DORITOS 650GR X 4 [C];15;15;55.39;43.65;100;1.71; ;;
TC1PKG04;DORITOS 61GR X 50 [V];85;80;49.06;39.07;82.16;2; ;;
TC1PKG05;DORITOS 146GR X 15 [R];60;60;41.34;57.74;100;2.17; ;;
TC1PKG06;DORITOS 146GR X 15 [R];65;60;48.69;45.25;89.56;0.71; ;;
TC1PKG07;DORITOS 146GR X 15 [R];50;60;2.57;94.17;49.92;11.55; ;;
TC1PKG08;DORITOS 146GR X 15 [R];65;60;15.4;79.92;78.16;1.87; ;;
